cluster_id,notes
DE190101418_LeiYang,"User-confirmed via a real paper affiliation footer: L. Yang and J. Yuan (lei.yang@unsw.edu.au, j.yuan@unsw.edu.au) at UNSW -- Jinhong Yuan is exactly the co-investigator on this cluster's own LP170101196 record, communications engineering field matches."
DP0556900_DavidBennett,"User-confirmed via a real academic profile: David Bennett, founding Director of Cultural Studies, School of Culture and Communication, University of Melbourne, background in English/literature -- spans Performing Arts and Cultural Studies cleanly."
LP0775100_DavidLewis,"User-confirmed via a real co-authored paper: Peter Ashman and David M. Lewis co-author 'Release of Cl, S, P, K, and Na during Thermal Conversion of Algal Biomass' -- bridges algae cultivation (Plant Biology, LP0775100) and algal biomass thermal conversion (Chemical Engineering, LP100200616, Ashman is co-investigator on both the grant and the paper)."
DP180103955_JianLi,"User-confirmed via a real Scopus/ORCID profile: Jian Li, Vice-Chancellor's Distinguished Professor, Microbiology, Monash Biomedicine Discovery Institute, Centre to Impact Antimicrobial Resistance, ORCID 0000-0001-7953-8230 -- antimicrobial-resistance research plausibly spans this cluster's Nanotechnology/Microbiology/Pharmacology fields (drug delivery, direct field match, pharmacology)."
LP0347329_MinhNguyen,"User-confirmed via a real Google Scholar profile: Minh Nguyen, University of Newcastle + Western Sydney University, food engineering/technology/health science -- matches both grants (Western Sydney University, Food Sciences)."
DP0559629_JunChen,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Andrew Minett, Gordon Wallace; institutions differ (career mobility)."
DE220100530_WeiWei,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-5613-337X on every grant (4 grants); shared co-investigator(s) across independent grants: Bing-Jie Ni; institutions differ (career mobility)."
DP0988193_KadambotSiddique,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-6097-4235 on every grant (9 grants); institutions differ (career mobility)."
DP190102944_YusukeYamauchi,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-7854-927X on every grant (9 grants); shared co-investigator(s) across independent grants: Mahboobeh Shahbazi, Md.Shahriar Hossain, Shi Xue Dou; same institution."
DE230100046_HaoWang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-5182-7938 on every grant (9 grants); shared co-investigator(s) across independent grants: Lei Ge; institutions differ (career mobility)."
DP140100545_LingChen,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-6468-5729 on every grant (11 grants); shared co-investigator(s) across independent grants: Chengqi Zhang; institutions differ (career mobility)."
DP0211085_AnhNguyen,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-6703-2291 on every grant (15 grants); shared co-investigator(s) across independent grants: Geoffrey Evans, Graeme Jameson; institutions differ (career mobility)."
DP0345012_ZhenxiangCheng,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Xiaolin Wang; same institution."
DP0208796_RichardBryant,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-9607-819X on every grant (16 grants); shared co-investigator(s) across independent grants: Angela Nickerson, Belinda Liddell, Derrick Silove, Zachary Steel; institutions differ (career mobility)."
DE240101089_FengLiu,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-5005-9129 on every grant (3 grants); institutions differ (career mobility)."
DP0558134_FengLiu,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-1074-2601 on every grant (9 grants); shared co-investigator(s) across independent grants: Adnan Trakic, Ewald Weber, Stuart Crozier; same institution."
DP0452443_JianxinZhao,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Gregory Webb, Suzanne Hand; institutions differ (career mobility)."
DP0879070_JungHoKim,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Germanas Peleckis, Md.Shahriar Hossain, Shi Xue Dou; institutions differ (career mobility)."
DP0342804_DavidWood,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-8866-3041 on every grant (7 grants); institutions differ (career mobility)."
DP1096251_BenjaminSmith,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-6227-5566 on every grant (5 grants); shared co-investigator(s) across independent grants: Adrian Bauman; institutions differ (career mobility)."
DP0774643_MichaelDavis,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Damien Holloway, Giles Thomas; institutions differ (career mobility)."
DP1094493_WeiChunWang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-6081-1487 on every grant (15 grants); shared co-investigator(s) across independent grants: Adrian Mouritz, Jin Zhang, Martin Veidt, Shuying Wu; institutions differ (career mobility)."
DE220101310_TaoLiu,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-7673-747X on every grant (3 grants); shared co-investigator(s) across independent grants: Jianhua Guo, Min Zheng; same institution."
DP1093485_GiangNguyen,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-8366-1693 on every grant (14 grants); shared co-investigator(s) across independent grants: Abbas Taheri, Ha Bui, Murat Karakus; institutions differ (career mobility)."
DP0664386_DanLi,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0003-3461-5751 on every grant (13 grants); shared co-investigator(s) across independent grants: Mengran Li, Zhe Liu; institutions differ (career mobility)."
DP0557572_JianYang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-4408-1952 on every grant (12 grants); shared co-investigator(s) across independent grants: Jia Wu, Michael Goddard, Michael Sheng; institutions differ (career mobility)."
DP0985084_ZhiChen,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-9309-7993 on every grant (11 grants); shared co-investigator(s) across independent grants: Jin Zou, Xiaolei Shi; institutions differ (career mobility)."
DP140102132_JieYang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0003-1317-8142 on every grant (8 grants); shared co-investigator(s) across independent grants: Sritawat Kitipornchai, Yingyan Zhang; institutions differ (career mobility)."
DP140102180_PengShi,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-8218-586X on every grant (4 grants); institutions differ (career mobility)."
DP200102298_WeiZhang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-0406-5974 on every grant (3 grants); shared co-investigator(s) across independent grants: Michael Sheng, Weitong Chen; institutions differ (career mobility)."
DP0987944_WeiZhang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-1059-3642 on every grant (6 grants); institutions differ (career mobility)."
DP0210851_MichaelLee,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-7538-0720 on every grant (22 grants); shared co-investigator(s) across independent grants: Benjamin Kear, Daniel Navarro, Danielle Navarro, Douglas Vickers, Kate Sanders, Mark Hutchinson, Matthew Phillips, Paul Oliver; institutions differ (career mobility)."
DP170100277_NamTrungNguyen,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0003-3626-5361 on every grant (9 grants); shared co-investigator(s) across independent grants: Alan Iacopi, Dzung Dao, Helen Stratton, Muhammad J. A. Shiddiky, Sima Dimitrijev; same institution."
DP0209921_PeterTaylor,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-7600-5383 on every grant (12 grants); shared co-investigator(s) across independent grants: Malgorzata O'Reilly, Mark Fackrell, Nigel Bean, Philip Pollett; institutions differ (career mobility)."
DP0345219_MingXingZhang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Andrejs Atrens, Dong Qiu, John Taylor, Patrick Kelly; institutions differ (career mobility)."
DP0453258_JamesSmith,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Garth Stahl, Kootsy (Justin) Canuto, Mair Underwood, Murray Drummond, Palaneeswaran Ekambaram, Peter Love; institutions differ (career mobility)."
DP0449696_DavidWilliams,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Alexander Scheuermann, Barry Ninham, Dorival Pedroso; institutions differ (career mobility)."
DP240102733_AndrewTaylor,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-3677-3270 on every grant (2 grants); institutions differ (career mobility)."
DP120101973_DavidHunter,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0003-3197-752X on every grant (3 grants); institutions differ (career mobility)."
DE140100624_AndrewMartin,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0003-3704-1829 on every grant (3 grants); institutions differ (career mobility)."
DP180102195_MinhNgocTran,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-3009-9713 on every grant (3 grants); shared co-investigator(s) across independent grants: Robert Kohn, Scott Brown; institutions differ (career mobility)."
FT230100243_YangLiu,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-5058-8373 on every grant (2 grants); institutions differ (career mobility)."
DP110103699_HongYang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0003-0169-6479 on every grant (6 grants); shared co-investigator(s) across independent grants: Dongke Zhang, Shaobin Wang, Vishnu Pareek, Yinong Liu; same institution."
DP0663617_YunLiu,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-5404-3909 on every grant (12 grants); shared co-investigator(s) across independent grants: Ray Withers, Terry Frankcombe, Zongyou Yin; institutions differ (career mobility)."
DP0559809_MichaelJones,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-5002-0227 on every grant (12 grants); shared co-investigator(s) across independent grants: James Dale; institutions differ (career mobility)."
DP0771374_DavidJones,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-8809-5822 on every grant (10 grants); shared co-investigator(s) across independent grants: Adrienne Hardham; institutions differ (career mobility)."
DE140100679_YingZhang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-2674-1638 on every grant (10 grants); shared co-investigator(s) across independent grants: Lu Qin, Wenjie Zhang, Xiaoyang Wang; institutions differ (career mobility)."
DP0346478_PeterWILSON,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: David Shum, Eric Csapo, J Green, Patrick Thomas; institutions differ (career mobility)."
DP0452249_YingChen,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-7322-2224 on every grant (11 grants); shared co-investigator(s) across independent grants: Qiran Cai, Srikanth Mateti; institutions differ (career mobility)."
DE170100319_MichaelTaylor,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0003-4393-7760 on every grant (2 grants); institutions differ (career mobility)."
DP0343443_LingLi,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-9722-9503 on every grant (17 grants); shared co-investigator(s) across independent grants: Alexander Scheuermann, Chenming Zhang, David Lockington, Dorival Pedroso, Hans Muhlhaus, Harald Hofmann, Isaac Santos, Senjian An, Sergio Galindo-Torres; institutions differ (career mobility)."
DP0556095_ChunZhuLi,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Martin Rhodes; institutions differ (career mobility)."
DP0450786_DavidSmith,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Bruce Gardiner, Roger Evans; institutions differ (career mobility)."
DP0210716_QingLi,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-7930-2145 on every grant (18 grants); shared co-investigator(s) across independent grants: Andrew Ruys, Grant Steven, Jianguang Fang, Michael Swain, Richard Appleyard, Wei Li; institutions differ (career mobility)."
DP0452805_DavidWilson,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-0007-4486 on every grant (7 grants); shared co-investigator(s) across independent grants: Richard Ruffin, Robert Adams; institutions differ (career mobility)."
DE130100614_SangHongLee,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0001-9701-2718 on every grant (4 grants); institutions differ (career mobility)."
DP110100550_DaWeiWang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-6651-4261 on every grant (7 grants); institutions differ (career mobility)."
DP170104612_XiangyuWang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Changzhi Wu, Keith Hampson, Kok Lay Teo; same institution."
DE130100090_XiaoBoChen,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-4508-5971 on every grant (10 grants); shared co-investigator(s) across independent grants: Cordelia Selomulya; institutions differ (career mobility)."
DP0342641_JunWang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0003-1699-3687 on every grant (13 grants); shared co-investigator(s) across independent grants: Khoa Le, Vivian Tam; institutions differ (career mobility)."
DP0987101_RichardSmith,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Adrienne Hunt, Benedicte Vanwanseele; institutions differ (career mobility)."
DP0208659_MichaelJohnson,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Dominic Verity, Ross Street, Stephen Lack; institutions differ (career mobility)."
DP0877925_HongZhang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-2642-5467 on every grant (6 grants); shared co-investigator(s) across independent grants: Damien Giurco, Michael Blumenstein, Rodney Stewart, Sean Smith; institutions differ (career mobility)."
DP0450461_JohnWilliams,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0003-4633-3006 on every grant (3 grants); institutions differ (career mobility)."
DP0211139_MichaelWilson,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: G.S. Kamali Kannangara, Louise Evans; institutions differ (career mobility)."
DP0343516_ChaoZhang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-2817-0488 on every grant (14 grants); shared co-investigator(s) across independent grants: Guoxiu Wang, Josip Horvat, Roger Lewis, Xiaolin Wang, Zhi Li; institutions differ (career mobility)."
DP0210581_AndrewBrown,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0003-4102-8301 on every grant (7 grants); institutions differ (career mobility)."
DP0558522_YanWang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-5344-1884 on every grant (7 grants); shared co-investigator(s) across independent grants: Mehmet Orgun; institutions differ (career mobility)."
DP150102472_YanWang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0003-1635-5554 on every grant (3 grants); shared co-investigator(s) across independent grants: Aihua Xia, Peter Vesk; institutions differ (career mobility)."
DP0664013_NicholasSmith,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Jean-Philippe Deranty, Michael Wallach, Sabina Belli; institutions differ (career mobility)."
DE210100263_WeiLi,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Michael Swain, Qing Li; institutions differ (career mobility)."
DP0559592_YanZhang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Abhaya Nayak, Dongmo Zhang; same institution."
DP0343704_MichaelSmith,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-6177-8217 on every grant (11 grants); shared co-investigator(s) across independent grants: Peter Danaher, Tracey Danaher; institutions differ (career mobility)."
DE220101277_RuiZhang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Egemen Tanin, Jianzhong Qi, Lars Kulik, Ramamohanarao Kotagiri, Shanika Karunasekera; institutions differ (career mobility)."
DE230100451_FanZhang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-3031-8218 on every grant (2 grants); institutions differ (career mobility)."
DE230100180_WeiWang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): shared co-investigator(s) across independent grants: Muhammad Cheema; institutions differ (career mobility)."
DP0344330_SongWang,"Auto-accepted 2026-08-23 by Claude per explicit user delegation (""if you think that they are likely the same, accept that""): same ARC-recorded ORCID 0000-0002-5198-8173 on every grant (3 grants); institutions differ (career mobility)."
DP140100077_YuanFangLi,"Auto-accepted 2026-08-23 by Claude per explicit user delegation: same ARC-recorded ORCID 0000-0003-4651-2821 on every grant; institutions differ (career mobility). Surfaced only on this run due to the pipeline's known small run-to-run Splink clustering drift, not present in the original 82-cluster snapshot."
LP0777027_XiuYingWang,Auto-accepted 2026-08-23 by Claude per explicit user delegation: same ARC-recorded ORCID 0000-0001-7160-5929 on every grant; same institution. Surfaced only on this run due to the pipeline's known small run-to-run Splink clustering drift.
DP0450020_ZhengXiangLi,Auto-accepted 2026-08-23 by Claude per explicit user delegation: same ARC-recorded ORCID 0000-0003-4350-5976 on every grant; institutions differ (career mobility). Surfaced only on this run due to the pipeline's known small run-to-run Splink clustering drift.
DE150101655_YangSong,"User-verified via real ORCID page 0000-0003-1283-1672: employment University of Sydney 2013-04 to 2018-09-30, then UNSW Sydney 2018-10-02 to present -- matches this cluster's own DE150101655 (Sydney, 2015 DECRA) and FT190100197 (UNSW, 2019 Future Fellowship) exactly. Still flagged by is_suspicious_for2020() because AI/computer vision + public health/curriculum FOR2020 divisions aren't a whitelisted pair -- confirmed correct via direct ORCID identity match, not a heuristic false positive."
DP0451680_MichaelTaylor,"User-verified via real Scopus author profile: Michael A P Taylor, Scopus ID 7406242909, University of South Australia 1991-2024 (institution history exactly spans this cluster's own 2003-2008 grants), 33 h-index, 4998 citations, subject areas Engineering/Social Sciences/Environmental Science/Computer Science/Decision Sciences/Mathematics/Business Management and Accounting/Economics -- a senior, prolific, broad-scope transport-engineering researcher, exactly matching this cluster's own civil engineering/applied economics/urban and regional planning/human geography FOR-code spread. Still flagged by is_suspicious_for2020() because that FOR-code combination isn't a whitelisted division pair -- confirmed correct, not a heuristic false positive."
